doc_id,documento,tema_id,tema,palabras_clave
14748,son simples delincuentes en uniforme mo corras wey agarra piedras lero lero leroooooo nombre corruptos descarados con sueldo no llenan de dinero no merecen ni el huniforme fuera toda esta,1,Seguridad,delincuentes
14749,bola de rateros esta reportera se merece mas feria a c a b no se porq se sorprenden y no se porq arman tanto alboroto los policias siempre han sido,5,Morena (-),rateros
14750,asi gobiernos van y gobiernos vienen y sigue la corrupcion br llamense pan pri prd morena siempre ha habido corrupcion esa no se acaba asta que asen ango bueno pero,5,Morena (-),corrupcion
14751,viva mexico ridiculos aqui en estados unidos se creen machistas y en sus mentes solo ellos son mejotes mejor mejoren subcorrupcion les mandaremos bukele lo interesante es que la periodista,-1,No clasificado,
14752,corre mas que el policia no perdon ellos no son asi los estan confundiendo son bien perros asi le robaron a mi hijo gracias por esibirlos encontraron el nido policias,1,Seguridad,policia
14753,huleeeros huleeeeros como ratas corren todos para empezar ni placas tienen esas motos lo que da a entender que ni siquiera eran elementos de vialidad realmente es deplorable ver como,2,Vialidades,vialidad
14754,ya no se puede confiar en el sistema arriba tv azteca son los que van a meter en cintura es la basura de nuestro pais pues como no es un,0,Servicios,basura
14755,ratero jajajaja q fuerte tio miedoso nunca e visto un ajentes ullendo ese camarografo y esa muchacha se merecen un aumento por fin un reportaje de verdad si van a,-1,No clasificado,
14756,chimalhuacan tendran varias oportunidades de captarlo hermosa la corrupcion es en todo lado politicos policias sgentes del trafico etc eso que dice el senor es cierto a mi cunada le,5,Morena (-),corrupcion
14757,quitaron un carro tres meses despues lo manejaba el jefe de policia queremos que se castigue con todo el peso de la ley salvo a personas de ser extorsionados felicitaciones,1,Seguridad,policia
14758,para la guapa reportera que chula reportero ay mamaaaaa la policia huye porque reconoce que la reportera trabaja para el dueno de elektra el que no paga impuestos piensan que,1,Seguridad,policia
14759,les van a cobrar en pagos chiquitos corre perra corre asi los entreno jarfuth ladrones con licencia y el gobierno que hace sobre esos extorcionistas con licencia y estos reporterillos,1,Seguridad,ladrones
14760,desde cuando estaban a favor de la poblacion se ve que les urge ganar credibilidad a estas alturas valla que hagan su trabajo y la presidenta dice que la gente,-1,No clasificado,
14761,es feliz en mexico mexico lindo y querido ustedes son los nuevos cerotes este video sera del ano para recordar los memes no tardan en aparecer mi respeto para el,-1,No clasificado,
14762,camarofrafo y la chica mi respeto el primer dia me dio arta risa de mirar a la chica corriendo tras el delincuente y luego quieren que uno no se debe,1,Seguridad,delincuente
14763,de reir que uno no haga comentarios pero hombre como no si da risa la culpa no es de nosotros en una occasion fui a mexico y en el aeroouerto,-1,No clasificado,
14764,me empesaron a pedir dolares poco se habla que el brother que lleva la camara corrio mas rapido que la reportera y a la misma velocidad que el policia es,1,Seguridad,policia
14765,un montaje del usurero ya nadie le cree como es posible que una reportera correte a una un batallon de policias nunca se habia visto el que nada debe nada,-1,No clasificado,
14766,teme que ladrones ojala cambie en mexico como aqui en el salvador eso solamente se ve en mexico eso es del diario y bien descargados en el mismo lugar como,1,Seguridad,ladrones
14767,tu patron y que cono nos interesa los problemas de mexico no jodan my primo fue a visitar a la fam de su esposa y se fueron en carro a,-1,No clasificado,
14768,mexico de denver co hasta michoacan y dice k en uno d los retenes de policia le pedian dolares de donacion para dejarlo pasar con su auto y eso k,1,Seguridad,policia
14769,de aki llevaba permiso en otros le pedian dolares en otro y en otro dolares pago dolares solo en donaciones para los servidores publicos k se suponen de proteger al,-1,No clasificado,
14770,turista es mas barato ir a disneyland ou londres k ir a mexico las fuerzas del orden mexicanas son un chiste una zarta de canallas y criminales con uniforme y,-1,No clasificado,
14771,ese es el pedo de mexico rateros como politicia tenia que correr como es un ratero y las personas que tengan una emergencia a quien ban allamar el policia extorsionando,1,Seguridad,policia
14772,corriendo que poca m este video debe programarse a nivel mundial para que exhiban a las autoridades para que sepan como se manejan debe cuidarse la valiente reportera porque esos,-1,No clasificado,
14773,funcionarios son vengativosla televisora debe protegerla esos policias son como no tienen vergenzay tal parece que son mandados por sus jefes siendo narcomexico seguro la reportera aparece como adorno de,-1,No clasificado,
14774,halloween o en pedacitos nadie habla del camarografo corriendo con tremenda camara y aun asi los alcanzo xd a href en serio el nivel de habla de las personas cada,-1,No clasificado,
14775,vez es menor ese tipo tiene el nivel de habla de un parvulo como delincuente no es un delincuente con uniforme que tiene que completar el bono para su superior,1,Seguridad,delincuente
14776,es la mantequilla que lubrica a la democracia corrupta del imperio colonizador de ee uu que alharaca ase esta reportera como si en gobiernos anteriores no uviera avido corrupcion lo,6,Corrupcion,"corrupcion, corrupta"
14777,que ase el sensacionalismo en todos los gobiernos ay malos elementos asi como malos politicos malos siudadanos me parece bien pero ridiculo porque si le hacen algo a la reportera,-1,No clasificado,
14778,br no es del fbi la reportera es como los actores en las novelas que quieren ir a detener al delincuente malo de la novela que autoridad tienen la presidenta,1,Seguridad,delincuente
14779,o el el ministro de turno no va hacer nada asi va la vida coruptos y covardes exhibio a los que deben impartir la justicia en el pais lamentablemente ni,-1,No clasificado,
14780,ponen la multa ni dejan avanzar solo meten miedo para que suelten el dinero si asi es la gente que nos quot debe de proteger quot que podemos esperar del,-1,No clasificado,
14781,gobierno en general puro ladron a mano llena un policia supuetamente entrenado no puede dejar atras corriendo a una mujer en tacones y un reportero cargando una camara no se,1,Seguridad,"ladron, policia"
14782,que da mas verguenza ajena corruptos de mrda como la policia de mi pais petristas son estaban en banda de delincuentes cazando a la gente que lastima que no lograron,1,Seguridad,"delincuentes, policia"
14783,grabarle l cara ni la identificacion salieron como cucarachas vaya pais si el gobierno es corrupto protege a los narcos que vas a esperar br narcoestado anda tremenda tropa de,5,Morena (-),narcoestado
14784,descarados la propia ley ase esto que puede dejar para un ciudadano comun lleven este video a la presidenta aver que les receta parece un montaje como los de loret,-1,No clasificado,
14785,de mola mis respetos para kariana una banda de extorcionista a la mejor ni policia son bien por la reportara y esta en buen estado fisico debe ser una porqueria,1,Seguridad,policia
14786,vivir en ese pais policias y autoridades corruptas sin vergenza carteles vas de paseo y te piden propina hasta por respirar y lo peor solo hay tacos para comer esa,6,Corrupcion,corruptas
14787,rata de dos patas si que corre mexico esta lleno de memes involuntarios parece que quieren competir con peru como el pais mas memeable el policia patitas para que las,1,Seguridad,policia
14788,quiero corre perra corre xd jajhaja que bien por la reportera persiguiendo a ratas muertas de hambre ponganle musica de benny hill viva mexico dios bendiga ha este oficial por,-1,No clasificado,
14789,su onestidad que senorita tan valiente cuidala dios esperece mi poli no corra lo hubieran tacleado porque claramente es una rata considero que la a reportera le falto energia para,-1,No clasificado,
14790,correr y hubieran tomado las placas de esa moto ya que ese tipo es un delincuente ahora con mas ganas la gente va portar armas y hacer justicia por mano,1,Seguridad,delincuente
14791,propia que bestias teniendo oportunidad para ser honesto y la desaprovechan bueno jodanse huye ladron lo bueno es que es bien seguro el pais no hay quien los controles a,1,Seguridad,ladron
