doc_id,documento,tema_id,tema,palabras_clave
1572,de no viaje a mex por parte de eu y luego trump va a actuar quiza tipo maduro es en serio donde esta tu iq no le hagas de tos,-1,No clasificado,
1573,toma ajolotiux joaquin fuera morena son unos ineptos el idiota de cravioto haciendo estupideces como es el fuera morena ineptos no se puede ser mas naca que tipo tan ridiculo,-1,No clasificado,
1574,pero todo el gobierno el gobierno esta asi salen con cada cosa para ponerse a llorar mexico necesita gente seria no payasos este circo de morena da pena pobre inepto,-1,No clasificado,
1575,que se tome su jarabe y se largue a trabajar a otro lado gente mas tarada no hay como los morenacos de a pena ajena y muy alta su lambizconeria,-1,No clasificado,
1576,el ricachon de lopez doriga siempre quejandose del gobierno desde que perdio los privilegios de su chayote fuera mugrena inservible y peor que el prian nunca habia estado asi la,4,Morena (+ / neutro),lopez
1577,cd mexico que mentiroso el muy estupido como el dice que muestren videos de la cdmx de antes del eso si estaba caotico espanolito mentiroso clara beugada vete a la,-1,No clasificado,
1578,chin como payaso te mueres de hambre que tontos personajes como dice doriga no me lo puedo creer echandole mas fuego al fuego que estupidos y tontos es en serio,-1,No clasificado,
1579,lo unico que estan demostrando que no saben gobernar siempre podra estar peor siempre exactamente joaquin estupidos no saben gobernar estamos completa total y absolutamente jodidos con estos br la,-1,No clasificado,
1580,donita lo suyo lo suyo era organizadora de eventos gio pues pero la ambicion desmedida y el voto estupido la llevaron a la jefatura y todos a pagar sus imbecilidades,-1,No clasificado,
1581,son las ideas de javi noble se ve que leyeron veces el libro quot el mejor vendedor del mundo quot que vergenza de gobernantes que tenemos a ver que se,-1,No clasificado,
1582,sorprenden se le dijo antes de votar que eran lo peor que hay majes ratas demas calificativos que se les ocurra aun asi votaron por la t que nada les,-1,No clasificado,
1583,sale bien ni les saldra asi que a reir de nuestras propias decisiones para no decir pentontadas mas chafa no se puede que decir a favor igual de nefastos los,-1,No clasificado,
1584,de morena lopez igual de nefasto falseador de noticias desde hace muchos anos y si le buscan tantito veran lo influyente que es para beneficiarse a costa de otros cerca,4,Morena (+ / neutro),lopez
1585,de su domicilio mejor que nos diga cuanto costo pintar de morado y luego repintar de amarillo la senalizacion de cdmx hahaha como dice la cancion a donde vamos a,-1,No clasificado,
1586,parar hahah do babe dorga a cada rato dice pndjads jajaja tiene libertad de expresion pero todo le arde a este pndjo si el numero de morena dice pendejadas es,-1,No clasificado,
1587,normal que el resto tambien las digan n rc payas de ojos desobedientes ya deje de inhalar sus pinturas senora ridicula renacuajo que vergenza de politicos con diarrea celebral no,-1,No clasificado,
1588,le queda otro calificativo que viejo pndjo no se puede pedir peras al olmo es imposible calidad con lo que tenemos que desgracia para esta hermosa ciudad la maldita clara,-1,No clasificado,
1589,brugada quieres pertenecer a morena no hacen falta estudios ni un curriculum viate extenso ni un diploma universitario para ser de este partido politico solo necesitas ser mam n payas,-1,No clasificado,
1590,inepto ratero violador o narco y decir endejadas cada que te pongan un microfono y si le echas ganas a todo eso hasta llegas a la presidencia y bueno del,-1,No clasificado,
1591,secretario de gobierno que querian un verdadero imbecil por eso la ciudad esta asi jamas habia estado en estas condiciones puro inutil y porro gobierno en la cdmx fuera morena,-1,No clasificado,
1592,en y los payasos del malestar que se vayan alv la t y sus pndjds ese tarado de cravioto es complice del robo de el predio de la escuela libre,1,Seguridad,robo
1593,de homeopatia de mexico ganan mucho dinero y todavia roban con esa cara no se puede esperar algo diferente xd que poca ajolota madre tienen estos endejos jejejeje ya no,-1,No clasificado,
1594,hagas coraje joaquincillo nada te parece tomalo con sentido del humor para que encabronarse por eso ya no la armes de tos ve por tu ajolotius un tecito y a,-1,No clasificado,
1595,dormir tomatelo tuuuu abue para que no la hagas de tos chingate dos ya quiero ver a la nefasta fulana esa que es jefa de gobierno haciendo la ola mas,-1,No clasificado,
1596,grande del mundo en las calles inundadas por las lluvias tipa ridicula gracias joaquin y grupo formula por esta nota hoy hablaba de algo parecido con una amiga sobre los,2,Vialidades,calles
1597,bufones de gobierno y de como ruvalcaba el director del metro y otros quieren aplicarla de diferente manera haciendo memes y retando al pueblo a que los siga y asi,-1,No clasificado,
